
TEAM_1,TEAM_2,NO_OF_MATCHES,TEAM_1_WIN_COUNT,TEAM_2_WIN_COUNT,TEAM_1_OVERTIME_WINS,TEAM_2_OVERTIME_WINS,AVG_TEAM_1_PENALTIES,AVG_TEAM_2_PENALTIES,TEAM_1_PLAYOFF_WINS,TEAM_2_PLAYOFF_WINS,TEAM_1_AVG_GOALS_PER_MATCH,TEAM_2_AVG_GOALS_PER_MATCH,TEAM_1_AVG_GOAL_PERCENTAGE,TEAM_2_AVG_GOAL_PERCENTAGE
NYI,PHI,74,29,45,8,12,3.662162,4,4,3,2.72973,3.081081,0.091159,0.1045194595
CGY,NSH,43,24,19,8,2,3.860465,3.790698,0,0,3.023256,2.790698,0.1050381628,0.107119907
ARI,OTT,20,11,9,2,1,3.95,3.9,0,0,3.35,3.6,0.121525,0.10524765
ARI,NSH,47,23,24,3,5,4.170213,3.468085,4,2,2.574468,2.659574,0.09242525532,0.08193629787
PHI,VAN,22,11,11,1,2,4.136364,4.181818,0,0,2.272727,2.954545,0.0749755,0.09637759091
CBJ,T.B,40,16,24,1,6,3.35,3.625,5,4,2.475,2.925,0.08682875,0.1014185
NYI,VGK,9,6,3,2,0,2.777778,2.222222,0,0,2.666667,1.888889,0.09709722222,0.05929844444
DAL,TOR,23,7,16,2,4,3.73913,3.347826,0,0,2.695652,3.521739,0.09380986956,0.1154306957
EDM,NSH,48,21,27,2,6,3.770833,3.520833,0,0,2.9375,2.666667,0.1021319167,0.0893866875
CHI,DAL,63,34,29,8,6,3.269841,3.825397,0,0,3.142857,2.888889,0.1014187302,0.09751292063
NYI,PIT,83,34,49,9,15,4.662651,4.86747,10,6,2.831325,3.337349,0.09467150602,0.1059536265
ARI,WPG,27,7,20,1,2,4.296296,3.777778,0,0,2.185185,3.222222,0.08004133333,0.1037586296
OTT,STL,20,9,11,3,1,4.45,3.7,0,0,2.6,3,0.09325205,0.09634005
MTL,N.J,38,15,23,4,6,3.552632,3.578947,0,0,2.394737,2.789474,0.0811481579,0.1011679737
ANA,STL,54,26,28,5,4,4.12963,3.944444,0,0,2.648148,3.092593,0.1097512963,0.1046777778
VAN,WSH,21,9,12,1,1,3.190476,4.095238,0,0,2.952381,3.52381,0.09683690476,0.1185526667
DET,NYI,32,12,20,3,5,3.375,3,0,0,2.625,3.25,0.0981015,0.1109575313
MTL,T.B,58,22,36,6,8,4.241379,4.068966,7,8,2.362069,2.913793,0.07833855172,0.1033632931
ARI,S.J,56,20,36,3,11,4.017857,3.821429,0,0,2.553571,2.875,0.0929755,0.08516464286
CGY,CHI,52,21,31,7,5,3.826923,3.692308,2,4,2.692308,3.346154,0.08734126923,0.1188409038
CHI,MIN,68,37,31,6,6,3.264706,3.161765,12,3,2.691176,2.441176,0.09091130882,0.08757930882
CHI,VGK,21,6,15,3,3,2.714286,2.619048,1,4,2.47619,3.619048,0.09119980952,0.1064784286
DAL,STL,74,33,41,7,11,4.486486,4.378378,7,8,2.432432,2.72973,0.08936591892,0.1002993514
MIN,NYI,22,12,10,0,2,4.272727,4.727273,0,0,3.409091,2.863636,0.1114848182,0.1008942727
DAL,EDM,47,31,16,6,4,4.297872,4.425532,0,0,3.085106,2.702128,0.1054657447,0.09041868085
VAN,VGK,7,1,6,1,2,3.142857,2.857143,0,0,2.857143,4.142857,0.09452457143,0.1076261429
L.A,TOR,17,8,9,2,1,4.058824,3.823529,0,0,2.235294,2.411765,0.06964464706,0.079934
EDM,WPG,40,18,22,1,9,3.425,3.475,0,4,3.125,3.05,0.102762325,0.0969963
DAL,L.A,45,24,21,7,4,4.444444,4.577778,0,0,2.6,2.666667,0.09955808889,0.0935306
BOS,TBL,8,6,2,1,1,4.25,3.75,0,0,3,2,0.093353875,0.068870125
L.A,N.J,26,13,13,3,3,3.538462,3.346154,4,2,2.115385,2.076923,0.081719,0.08337692308
EDM,S.J,55,17,38,4,9,4.254545,3.618182,4,2,2.6,3.381818,0.09977743636,0.1090812727
VGK,WPG,26,16,10,3,2,3.692308,3.615385,8,2,3.346154,3.153846,0.1070675,0.1049174231
COL,S.J,58,22,36,6,8,3.982759,3.568966,5,8,2.603448,3.155172,0.09198546552,0.09989374138
ATL,BUF,11,6,5,4,2,5.727273,6,0,0,2.727273,3.454545,0.09915027273,0.1111461818
PIT,T.B,54,30,24,4,3,4.796296,5.148148,7,7,3.351852,2.907407,0.1017967778,0.1111987407
OTT,TBL,9,4,5,0,0,5.111111,4.555556,0,0,4,3.333333,0.1385551111,0.1168485556
NYR,TOR,46,26,20,8,6,3.804348,3.521739,0,0,3.108696,2.630435,0.1007306522,0.08315204348
MIN,TOR,23,11,12,1,2,3.565217,3.652174,0,0,2.347826,2.652174,0.08317469565,0.1007278696
CBJ,NYI,42,17,25,6,7,3.214286,3.857143,0,0,2.809524,2.880952,0.08410109524,0.09242604762
TOR,WSH,49,19,30,4,8,4.020408,4.040816,2,4,2.734694,3.061224,0.09280361225,0.1024179388
FLA,WSH,60,29,31,10,5,3.866667,4.333333,4,2,2.983333,3.316667,0.09617721667,0.1103601167
L.A,NYR,24,14,10,7,2,3.458333,3.625,4,1,2.708333,2.583333,0.084269125,0.09751845833
ANA,CHI,53,23,30,5,8,3.792453,3.113208,3,4,2.377358,2.830189,0.08187686792,0.08934011321
TBL,VAN,5,5,0,0,0,3.4,3.4,0,0,4,2.4,0.141792,0.0718862
T.B,WSH,60,23,37,8,5,4.183333,4.266667,8,4,2.716667,3.483333,0.09382948333,0.1092762333
CAR,FLA,65,32,33,5,8,4,4.046154,0,4,2.707692,2.815385,0.08806909231,0.09461946154
MTL,NYR,57,32,25,4,4,4.421053,4.45614,4,8,2.736842,2.421053,0.09144417544,0.08088087719
COL,VAN,53,17,36,6,8,4.09434,4.509434,0,0,2.45283,3.207547,0.08028098113,0.1120557547
BUF,COL,21,5,16,0,2,3.809524,3.714286,0,0,2.333333,3.619048,0.07910552381,0.1179629524
PIT,WSH,86,44,42,12,9,4.232558,4.534884,14,12,2.94186,3.081395,0.09511033721,0.1030548372
CBJ,S.J,31,15,16,3,0,4.83871,3.967742,0,0,2.709677,2.516129,0.09902612903,0.07776996774
CBJ,WSH,50,19,31,7,9,4.2,4.16,2,4,2.7,3.12,0.08959664,0.10123802
COL,PHI,23,11,12,1,2,3.913043,4.304348,0,0,3.217391,3.086957,0.09542704348,0.1018053478
BOS,MIN,23,13,10,5,1,4.434783,4,0,0,2.782609,2.26087,0.09080021739,0.07427765217
DET,DAL,43,17,26,2,8,3.813953,4.023256,0,0,2.906977,3.209302,0.1045543721,0.1148324651
DAL,NYI,23,11,12,1,3,3.695652,3.347826,0,0,3.434783,3.130435,0.1130563478,0.09798291304
COL,EDM,56,25,31,7,6,3.75,4.035714,4,0,2.982143,3.25,0.09192221429,0.1072523571
MIN,WPG,47,24,23,4,3,4.042553,4.042553,1,4,2.787234,2.829787,0.09396793617,0.09889208511
ANA,OTT,22,11,11,1,6,4.227273,3.818182,0,0,2.318182,2.136364,0.08073836364,0.06838668182
CAR,MTL,43,24,19,5,3,3.627907,3.860465,0,0,2.627907,2.581395,0.08178102326,0.08991
CAR,NYR,64,22,42,2,5,3.765625,3.59375,6,4,2.296875,3,0.07441325,0.1078005469
L.A,S.J,89,38,51,9,13,4.41573,4.325843,11,14,2.539326,2.685393,0.08801253933,0.09171794382
CGY,EDM,79,44,35,6,2,4.822785,4.607595,1,3,3.227848,3.050633,0.1005206203,0.1034041139
NSH,PIT,28,8,20,1,5,4.392857,4.25,2,4,2.214286,3.071429,0.07718271429,0.1127380357
CHI,EDM,48,30,18,4,2,3.4375,4,3,1,3.75,3.083333,0.1128606042,0.1075149375
CGY,STL,45,19,26,4,2,4.177778,4.511111,0,0,2.711111,3.088889,0.09506988889,0.1080947778
SJS,VGK,9,2,7,1,1,3.222222,2.666667,0,0,2.111111,3.444444,0.07815588889,0.1027993333
NYI,NYR,72,36,36,4,5,4.763889,4.138889,0,0,2.833333,2.819444,0.1013644722,0.08975338889
BUF,CAR,43,15,28,3,7,3.744186,3.627907,0,0,2.72093,3.302326,0.09942251163,0.1018838372
MIN,VGK,29,16,13,3,3,3.344828,3.37931,3,4,2.655172,2.724138,0.09918558621,0.08693910345
ATL,OTT,12,7,5,2,0,4.75,5.666667,0,0,3.416667,3,0.11961425,0.09976808333
CGY,SEA,8,7,1,0,0,3.375,3.625,0,0,4.375,2.625,0.124573,0.108858125
NYI,OTT,46,27,19,6,3,3.913043,4.043478,0,0,2.847826,2.804348,0.09252780435,0.09490828261
COL,WSH,22,9,13,0,2,3.863636,3.727273,0,0,2.863636,3.045455,0.1030594545,0.09339881818
EDM,NYR,23,11,12,3,1,3.478261,3.652174,0,0,2.652174,3.26087,0.08733295652,0.1100491304
ATL,T.B,16,5,11,1,4,5.6875,5.625,0,0,2.6875,3.5,0.094484,0.101464
BUF,NYR,52,18,34,4,9,3.115385,3.5,0,0,2.25,3.076923,0.08268663462,0.1000171154
MTL,VAN,35,25,10,5,4,3.628571,3.428571,0,0,3.485714,2.6,0.1105300286,0.08526177143
PHI,PIT,87,40,47,6,10,5,5.195402,8,10,3.149425,3.425287,0.1096767471,0.1126677701
ANA,CGY,66,42,24,9,5,4.5,3.954545,8,1,3.075758,2.787879,0.1102723636,0.09430595455
COL,CHI,58,33,25,5,7,3.482759,3.258621,0,0,3.310345,2.689655,0.1170031724,0.08080060345
CAR,DAL,31,13,18,3,3,3.548387,3.709677,0,0,2.709677,2.935484,0.09307277419,0.1158635161
MTL,NYI,41,25,16,3,5,4.097561,3.536585,0,0,3.195122,2.487805,0.1060907561,0.08648568293
ARI,EDM,47,24,23,5,7,4.382979,4.085106,0,0,2.93617,2.851064,0.1061487872,0.0938116383
BUF,TOR,62,32,30,4,6,3.919355,3.903226,0,0,3.225806,2.887097,0.1051455323,0.09236135484
DET,S.J,43,19,24,4,5,4.348837,4.488372,4,8,2.674419,2.744186,0.08757467442,0.08718609302
CBJ,PIT,51,13,38,5,8,4.27451,3.843137,3,8,2.470588,3.509804,0.07989952941,0.1043517059
CHI,VAN,63,29,34,6,6,4.15873,4.761905,11,8,2.873016,3,0.09141615873,0.108990873
EDM,VAN,77,35,42,4,7,4.272727,4.194805,0,0,2.662338,2.922078,0.09215528571,0.09770833766
VAN,WPG,35,10,25,1,2,3.142857,3.314286,0,0,2.028571,3.171429,0.06946185714,0.1023987143
ARI,BOS,21,4,17,0,0,3.52381,3.285714,0,0,1.857143,3.428571,0.07074985714,0.1085667143
L.A,VGK,25,10,15,2,2,2.88,2.72,0,4,2.52,2.8,0.09122044,0.08315184
DET,N.J,24,14,10,2,2,3.625,3.666667,0,0,2.916667,2.416667,0.1008676667,0.09695795833
COL,MIN,80,34,46,5,8,4.4,4.3,3,4,2.725,2.8125,0.0917944375,0.098261575
DET,FLA,46,14,32,4,9,3.934783,4.043478,0,0,2.173913,3.23913,0.07280991304,0.1014201087
COL,CBJ,36,18,18,3,4,4.166667,4.277778,0,0,3,2.666667,0.1030506111,0.08528830556
ARI,ARI,107,47,60,12,12,4.065421,3.915888,5,4,2.476636,2.728972,0.08213916822,0.08961492523
ARI,COL,52,23,29,3,7,4.173077,3.807692,1,4,2.5,3,0.09077278846,0.09169765385
EDM,NYI,20,11,9,3,1,3.9,3.35,0,0,2.5,2.7,0.0875067,0.0923888
CHI,WSH,21,6,15,1,4,2.857143,3.952381,0,0,3,4,0.09639690476,0.1348989524
ANA,T.B,18,6,12,4,2,4.888889,4.277778,0,0,2.055556,2.888889,0.07928761111,0.1187949444
NYR,PHI,78,43,35,4,6,4.576923,4.615385,4,3,2.833333,2.397436,0.09822746154,0.08125884615
LAK,SJS,7,4,3,1,1,3.571429,3.428571,0,0,2.714286,3.142857,0.08178942857,0.1308535714
NSH,N.J,16,9,7,3,4,3.375,3.25,0,0,3.125,2.8125,0.10217275,0.1029668125
BOS,CGY,22,15,7,3,2,3.909091,3.181818,0,0,3.318182,2.363636,0.1100780455,0.07571559091
BUF,PHI,62,23,39,4,6,4.387097,4.548387,3,4,2.741935,3.419355,0.09652291936,0.1064285484
MIN,STL,79,32,47,5,12,3.962025,4.088608,7,10,2.607595,2.987342,0.09961681013,0.1037123544
BOS,CAR,66,41,25,8,6,4.30303,4.19697,14,9,3.015152,2.469697,0.09625871212,0.08327384848
BUF,LAK,4,1,3,0,0,3.5,4,0,0,2.5,2.75,0.08646175,0.090139
ARI,BUF,24,7,17,2,3,3.666667,3.75,0,0,2.083333,3.041667,0.07243533333,0.09556408333
ANA,VGK,29,6,23,1,5,3.517241,2.965517,0,0,2.103448,3.758621,0.08488068965,0.1092581034
DET,VAN,34,21,13,5,4,4.352941,4.294118,0,0,3.147059,2.735294,0.1037819118,0.09065191176
ANA,NSH,62,23,39,5,7,4.580645,4.032258,7,12,2.629032,3.145161,0.09190729032,0.1059437742
MTL,MIN,23,5,18,0,1,5.043478,4.217391,0,0,2.217391,3.391304,0.07668773913,0.1174206522
SEA,WSH,4,2,2,1,0,3.5,2.25,0,0,2.75,3.25,0.096067,0.1108755
FLA,NYI,51,29,22,5,6,4.176471,4.196078,3,6,2.784314,2.352941,0.09272509804,0.07405117647
COL,DET,34,17,17,3,5,3.676471,3.529412,0,0,2.941176,2.676471,0.09924876471,0.09174826471
CHI,NYI,20,10,10,3,3,2.85,3.2,0,0,2.7,2.65,0.08384825,0.0839971
DAL,VAN,45,23,22,7,3,4.577778,4.044444,0,0,2.644444,2.977778,0.09120837778,0.1054900667
BUF,T.B,44,15,29,1,2,4.386364,4.090909,0,0,2.659091,3.181818,0.09631477273,0.1055423409
CAR,PHI,56,25,31,6,10,4,4.410714,0,0,2.803571,3.089286,0.0914785,0.1068969821
CAR,T.B,62,23,39,6,8,3.967742,4.177419,1,4,2.548387,3.145161,0.08056230645,0.1120457903
BOS,WSH,66,26,40,6,13,4,4.075758,7,6,2.575758,2.80303,0.08591380303,0.09693137879
MTL,WSH,52,18,34,5,7,4.403846,4.211538,3,3,2.403846,3.365385,0.08066303846,0.1100766538
CGY,VGK,18,6,12,0,1,3.388889,3.666667,0,0,3.055556,3.444444,0.09704505556,0.1205242222
OTT,PHI,45,21,24,3,8,4.977778,4.666667,0,0,2.977778,2.977778,0.1019890222,0.09830528889
ANA,L.A,72,37,35,9,8,4.638889,4.236111,3,4,2.555556,2.541667,0.09887547222,0.09011423611
CGY,DET,37,20,17,3,3,4.216216,3.891892,0,0,3.162162,2.891892,0.1131118649,0.09630445946
DET,NYR,32,13,19,7,9,3.125,3.21875,0,0,2.03125,2.625,0.0665659375,0.0812174375
CBJ,N.J,31,21,10,3,1,3.451613,3.548387,0,0,2.870968,1.967742,0.1054079032,0.06906929032
LAK,MIN,7,4,3,0,0,3.142857,3.571429,0,0,3.285714,3,0.1049558571,0.09703642857
CBJ,NYR,40,17,23,3,4,3.5,3.35,0,0,2.9,3.175,0.101397125,0.10493325
BUF,FLA,54,19,35,4,6,4.277778,4.296296,0,0,2.518519,3.018519,0.08818359259,0.0937062037
BOS,DAL,23,17,6,3,2,4.608696,4.652174,0,0,3.130435,2.26087,0.099816,0.075608
FLA,S.J,17,13,4,3,0,3.294118,3.352941,0,0,3.352941,2.470588,0.1189259412,0.07502770588
CAR,COL,24,11,13,3,3,3.75,3.625,0,0,2.458333,2.666667,0.0743155,0.09260466667
CGY,L.A,49,26,23,6,4,3.877551,4.530612,0,0,2.306122,2.428571,0.08652463265,0.08452620408
CBJ,SEA,4,2,2,2,0,2,1.75,0,0,2.5,3,0.096382,0.096515
MIN,PIT,23,7,16,0,3,3.782609,4.043478,0,0,2.73913,3.478261,0.09538086956,0.106584913
BOS,N.J,46,29,17,6,5,3.586957,3.282609,0,0,2.673913,1.826087,0.09208152174,0.06473497826
LAK,PIT,5,3,2,0,1,3.2,4.2,0,0,4,3,0.1080954,0.1121644
MTL,S.J,17,3,14,0,1,3.588235,2.764706,0,0,1.588235,3.235294,0.05800405882,0.1073878235
BOS,CHI,30,18,12,4,4,3.733333,3.6,2,4,3.2,2.5,0.0933166,0.07874316667
COL,FLA,22,11,11,2,4,3.772727,3.5,0,0,3,3.090909,0.09308327273,0.09191059091
OTT,VGK,10,1,9,0,2,3.4,3.1,0,0,2.6,4,0.0781823,0.1052755
ANA,NYI,21,10,11,2,2,4.190476,3.619048,0,0,2.619048,3.047619,0.09213185714,0.1066035238
OTT,PIT,60,23,37,6,5,5.066667,4.75,5,12,2.85,3.5,0.098184,0.1049687
PHI,S.J,19,4,15,1,5,4.947368,4,0,0,2.368421,3.631579,0.09100447368,0.1121125789
CAR,NJD,13,9,4,3,0,3.076923,3.076923,4,1,3.846154,3,0.1292533846,0.1066328462
OTT,S.J,17,9,8,2,1,3.705882,3.294118,0,0,3,2.941176,0.1088330588,0.08555017647
CHI,NSH,89,45,44,13,5,3.494382,3.483146,8,8,2.561798,2.831461,0.08473158427,0.09625398876
MTL,NSH,20,9,11,5,3,3.8,3.45,0,0,2.1,2.7,0.0746893,0.08502925
ARI,VGK,25,8,17,0,4,3.28,3.28,0,0,2.28,3.16,0.08256124,0.09471876
MTL,TOR,79,41,38,12,7,4.64557,4.278481,4,3,2.78481,2.886076,0.09738996202,0.09134326582
EDM,LAK,20,12,8,1,3,4.5,3.75,8,5,3.5,2.8,0.1062408,0.07829395
DAL,FLA,29,14,15,2,4,4.137931,4.034483,0,0,3.034483,3.137931,0.09826158621,0.09706206897
BOS,FLA,61,42,19,9,4,3.622951,3.721311,3,4,3.163934,2.262295,0.09384491803,0.07460239344
CGY,NYR,21,10,11,2,2,3.714286,3.714286,0,0,2.904762,2.571429,0.09690238095,0.09206266667
PHI,STL,21,10,11,2,3,4.619048,4.619048,0,0,2.380952,2.52381,0.08430995238,0.08707547619
ARI,DET,41,16,25,6,7,4.634146,4.243902,3,8,2.878049,3.390244,0.09701585366,0.1006769512
DET,MTL,41,17,24,6,5,3.268293,4.02439,0,0,2.292683,3.292683,0.07740497561,0.1154988537
CGY,OTT,35,20,15,3,2,4.2,3.971429,0,0,3.171429,2.885714,0.1019769429,0.1016728857
PIT,TBL,6,5,1,1,0,3.333333,3.333333,0,0,5,2.833333,0.1358231667,0.094729
ARI,T.B,18,7,11,0,1,4.166667,3.722222,0,0,2.666667,3.277778,0.09135916667,0.1061985
PIT,STL,22,11,11,2,4,3,4.136364,0,0,3,2.545455,0.09241945455,0.092432
CHI,NYR,23,10,13,1,3,2.956522,3.652174,0,0,2.608696,2.782609,0.09100991304,0.09865334783
NJD,WSH,9,4,5,3,0,3.555556,3.222222,0,0,3.222222,3.777778,0.1029891111,0.1485664444
FLA,WPG,28,13,15,1,5,3.75,4.321429,0,0,3.25,3.678571,0.1098059286,0.1166651429
COL,N.J,19,13,6,2,2,3.736842,3.842105,0,0,2.473684,1.631579,0.08723536842,0.05330663158
DAL,PHI,23,13,10,2,2,3.869565,3.695652,0,0,3.086957,2.478261,0.110123913,0.0838066087
FLA,PIT,46,16,30,4,11,4.152174,4.108696,0,0,2.695652,3.108696,0.0863603913,0.09329736956
STL,WPG,45,18,27,1,8,4.022222,3.911111,4,2,2.355556,3.022222,0.08426713333,0.1058395556
TOR,WPG,33,17,16,4,3,4,3.939394,0,0,3.272727,3.151515,0.1088533636,0.1028110303
CAR,L.A,17,8,9,0,2,3.352941,3.705882,0,0,2.470588,2.411765,0.08598235294,0.08560435294
CAR,VAN,20,8,12,0,3,3.35,3.85,0,0,2.65,2.9,0.0823907,0.11307035
BUF,OTT,61,24,37,4,8,4.442623,4.442623,0,0,2.57377,2.885246,0.08621454098,0.08777301639
BOS,WPG,22,15,7,2,1,4.227273,4.045455,0,0,3,2.227273,0.08913227273,0.08149740909
DAL,PIT,23,12,11,2,0,4.173913,3.869565,0,0,2.26087,2.652174,0.08096186956,0.08814552174
BUF,MIN,19,9,10,3,1,3.473684,3.263158,0,0,2.526316,3.421053,0.08387452632,0.1096688947
BOS,BUF,73,50,23,11,5,4.260274,4.123288,4,2,3.287671,2.328767,0.09819167123,0.0814999589
FLA,NSH,30,14,16,0,4,3.333333,3.733333,0,0,2.733333,2.8,0.0813744,0.09474393333
DAL,NSH,70,39,31,7,6,4.042857,4.185714,4,2,2.871429,2.442857,0.1057346429,0.0851126
ARI,MIN,49,19,30,3,4,3.816327,3.408163,0,0,2.55102,3.102041,0.09098281633,0.1048688571
ARI,PHI,21,11,10,4,4,4.047619,3.904762,0,0,3.047619,3.047619,0.1147979048,0.08960090476
CBJ,WPG,19,9,10,1,1,4.210526,4.157895,0,0,3.105263,3,0.1016745263,0.09829178947
CAR,NSH,36,21,15,3,4,3.916667,3.916667,4,2,2.972222,2.611111,0.09489641667,0.0881785
L.A,STL,56,32,24,4,5,4.285714,4.946429,8,2,2.625,2.321429,0.09445560714,0.08583716071
CBJ,PHI,40,24,16,8,3,4.1,3.675,0,0,3.075,3.05,0.10498225,0.098958275
EDM,N.J,17,10,7,4,3,3.117647,3.764706,0,0,2.588235,2.235294,0.08777976471,0.08155435294
ARI,DAL,46,17,29,5,3,4.130435,4.043478,0,0,2.304348,3.086957,0.07499480435,0.1031827174
NYR,WSH,92,43,49,6,10,4.141304,4.445652,15,17,2.586957,2.706522,0.09231692391,0.09337198913
NSH,TBL,5,0,5,0,1,5,5.2,0,0,2.2,4.4,0.0762994,0.1240504
ARI,NYI,21,7,14,2,1,3.619048,3.714286,0,0,1.857143,3,0.06003309524,0.1000024762
CBJ,TBL,7,2,5,0,0,4,3.285714,0,0,2.571429,4.285714,0.09438157143,0.1227221429
EDM,PHI,21,11,10,1,2,4.190476,3.904762,0,0,3.190476,2.857143,0.1140102857,0.09176628571
NSH,VAN,51,23,28,6,2,4.058824,4.117647,2,4,2.509804,2.882353,0.08453266667,0.09974909804
COL,MTL,20,13,7,2,0,3.85,3.75,0,0,3,2.65,0.10327855,0.0868704
ATL,WSH,18,6,12,0,1,5.055556,4.833333,0,0,3.166667,3.666667,0.1112593889,0.1069409444
COL,VGK,30,15,15,2,3,3.433333,3.8,2,5,2.5,2.666667,0.0825495,0.09212356667
ANA,DET,49,20,29,5,8,4.77551,4.122449,5,8,2.469388,2.836735,0.0870327551,0.08708665306
N.J,OTT,37,21,16,7,3,3.72973,4.027027,0,0,2.621622,2.405405,0.08957427027,0.09412716216
CHI,DET,61,37,24,11,5,3.770492,3.836066,5,7,3.065574,2.52459,0.1023081311,0.08135283607
DAL,WSH,22,15,7,3,4,3.772727,4.181818,0,0,3.136364,2.590909,0.1082673636,0.08699954545
DET,L.A,31,16,15,0,2,3.483871,3.645161,0,0,2.83871,2.548387,0.1043956129,0.08784248387
S.J,T.B,20,11,9,0,1,3.05,3.75,0,0,3.35,3.15,0.09482245,0.10980105
CHI,L.A,51,31,20,6,6,2.980392,3.666667,7,5,2.764706,2.54902,0.09603184314,0.08945596078
PHI,TOR,45,23,22,4,3,4.355556,4.6,0,0,3.155556,3.111111,0.09855922222,0.1063160667
ANA,TOR,22,5,17,1,5,4.590909,3.272727,0,0,2.363636,3.954545,0.077246,0.1189887727
MIN,T.B,19,12,7,2,2,3.789474,3.684211,0,0,2.578947,1.947368,0.09921878947,0.06939031579
BOS,OTT,70,46,24,9,6,3.871429,3.857143,2,4,3,2.257143,0.09555047143,0.07776967143
BUF,NJD,7,2,5,0,1,3.142857,2.285714,0,0,3,3.714286,0.1110621429,0.1052078571
EDM,PIT,21,7,14,3,3,3.857143,3.714286,0,0,2.904762,3.095238,0.08677219048,0.09799952381
SJS,WSH,5,2,3,0,0,3.2,2.4,0,0,2.4,3.4,0.0719948,0.1212988
COL,NJD,5,2,3,0,0,2.6,3.6,0,0,3.4,3.4,0.112835,0.1137216
COL,NYI,24,11,13,3,3,4.166667,3.708333,0,0,2.916667,3.083333,0.08595704167,0.0985845
COL,OTT,22,14,8,3,2,3.818182,3.590909,0,0,4.090909,3.090909,0.1446608182,0.1045144091
S.J,TOR,16,12,4,1,0,3.5,4.125,0,0,3.6875,2.375,0.101891375,0.0860996875
FLA,SEA,5,2,3,0,0,3.6,3,0,0,2.8,3.4,0.0927408,0.113418
CAR,CGY,21,10,11,1,3,3.761905,4.333333,0,0,2.666667,2.619048,0.081284,0.09143733333
CHI,NJD,5,1,4,0,1,2.6,3.2,0,0,3.2,4.4,0.1125244,0.1260536
BOS,COL,22,9,13,1,2,4.227273,3.818182,0,0,2.681818,2.590909,0.08913890909,0.09162077273
OTT,WPG,34,17,17,2,1,4.176471,3.823529,0,0,2.794118,3.058824,0.09354120588,0.09542194118
CHI,TOR,22,14,8,2,4,3.5,3.818182,0,0,4.045455,3.272727,0.1266730909,0.09369877273
CHI,MTL,22,15,7,3,2,3.363636,3.909091,0,0,2.590909,1.863636,0.08691190909,0.06020827273
NYR,S.J,17,10,7,2,1,3.235294,3,0,0,3.352941,3.235294,0.1141298824,0.1004369412
NSH,PHI,20,8,12,2,4,3.55,3.75,0,0,2.6,2.8,0.0837711,0.10043
NSH,NYR,23,12,11,2,0,3.608696,3.695652,0,0,2.130435,2.478261,0.07681147826,0.09002034783
MIN,N.J,17,7,10,0,4,3.117647,3.588235,0,0,2.941176,3,0.1105061176,0.1143279412
FLA,MTL,54,26,28,1,7,4.055556,4.296296,0,0,2.888889,2.962963,0.08873931481,0.09559451852
ARI,SEA,7,2,5,0,1,4.857143,4,0,0,2.714286,4.142857,0.1086507143,0.1202648571
BUF,TBL,8,4,4,2,1,3.375,3.25,0,0,3.5,4.125,0.12754925,0.1339905
BOS,VAN,28,16,12,2,2,4.75,4.642857,3,3,3,2.607143,0.08961989286,0.08680471429
